Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
5807	2	failed	50660	Feb-10 17:12:52	Feb-10 20:27:02	'-	06:01:18	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
5498	1	failed	60317	Feb-09 15:01:59	Feb-09 19:36:51	Feb-10 02:34:04	06:57:13	T2_US_MIT	undefined	JobLog	PostJob	undefined	undefined
7805	0	failed	50660	Feb-09 00:34:05	Feb-10 21:47:38	'-	05:06:02	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
5258	1	failed	60317	Feb-09 16:29:46	Feb-09 20:07:10	Feb-10 03:04:47	06:57:37	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
5343	1	failed	60317	Feb-09 14:22:16	Feb-09 18:08:05	Feb-10 03:43:50	09:35:45	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
5969	2	failed	50660	Feb-10 17:11:36	Feb-10 19:45:53	'-	07:51:19	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
5365	1	failed	60317	Feb-09 17:04:37	Feb-09 20:12:29	Feb-10 03:37:02	07:24:33	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
7853	0	failed	50660	Feb-09 00:40:03	Feb-10 22:50:20	'-	04:51:05	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
5700	1	failed	60317	Feb-09 17:27:51	Feb-09 21:50:52	Feb-10 03:58:27	06:07:34	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
7896	0	failed	50660	Feb-09 01:04:45	Feb-11 01:59:03	'-	02:01:25	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7635	1	failed	50660	Feb-10 13:12:01	Feb-10 21:35:50	'-	06:36:22	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
6450	1	failed	60317	Feb-09 19:58:26	Feb-09 23:53:59	Feb-10 04:17:58	04:23:59	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
7874	0	failed	50660	Feb-09 01:04:41	Feb-11 00:58:08	'-	03:21:43	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
6354	1	failed	60317	Feb-09 19:19:44	Feb-09 22:57:14	Feb-10 04:18:55	05:21:41	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
7533	1	failed	50660	Feb-10 11:43:10	Feb-10 21:12:14	'-	07:11:20	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7465	1	failed	50660	Feb-10 08:49:17	Feb-10 20:27:20	'-	08:01:53	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7788	0	failed	50660	Feb-09 00:34:02	Feb-10 21:47:42	'-	07:06:20	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7886	0	failed	50660	Feb-09 01:04:43	Feb-11 01:34:21	'-	03:36:04	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3478	1	failed	50660	Feb-05 11:19:51	Feb-07 04:32:12	'-	07:01:27	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
2565	6	failed	8021	Feb-07 11:10:36	Feb-07 11:15:31	Feb-07 13:13:21	01:57:50	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3287	5	failed	8021	Feb-07 11:10:49	Feb-07 11:17:00	Feb-07 13:30:27	02:13:27	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3324	4	failed	50660	Feb-07 11:22:46	Feb-07 13:13:21	'-	03:59:04	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3385	3	failed	8021	Feb-07 13:33:18	Feb-07 14:37:31	Feb-07 19:02:15	04:24:44	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3500	2	failed	50660	Feb-07 13:33:30	Feb-07 18:53:11	'-	05:17:33	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3454	1	failed	60317	Feb-05 11:19:48	Feb-06 16:09:44	Feb-07 00:02:52	07:53:08	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3473	2	failed	8021	Feb-07 13:33:27	Feb-07 16:25:05	Feb-08 01:40:03	09:14:58	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3535	1	failed	50660	Feb-06 16:56:07	Feb-07 23:32:22	'-	05:15:57	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3497	2	failed	8021	Feb-07 13:33:30	Feb-07 18:07:02	Feb-08 05:17:58	11:10:56	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3495	1	failed	50660	Feb-06 16:56:07	Feb-07 23:32:22	'-	05:46:10	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3701	1	failed	50660	Feb-07 07:15:16	Feb-08 04:44:12	'-	03:40:45	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3688	1	failed	50660	Feb-07 07:15:07	Feb-08 04:44:09	'-	03:55:56	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3709	1	failed	50660	Feb-07 14:22:49	Feb-08 04:51:50	'-	05:26:06	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3633	1	failed	50660	Feb-07 04:36:24	Feb-08 02:14:43	'-	08:36:35	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3675	1	failed	50660	Feb-07 04:36:37	Feb-08 03:13:30	'-	08:11:30	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3021	5	failed	60317	Feb-07 01:11:19	Feb-07 02:48:03	Feb-07 11:40:30	08:52:27	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3828	1	failed	50660	Feb-07 14:23:25	Feb-08 10:02:19	'-	01:55:58	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3917	1	failed	50660	Feb-07 14:23:46	Feb-08 12:39:25	'-	00:05:22	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
3724	1	failed	50660	Feb-07 07:15:22	Feb-08 04:51:52	'-	08:26:26	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3733	1	failed	50660	Feb-07 14:22:52	Feb-08 05:46:15	'-	08:56:36	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3920	1	failed	50660	Feb-07 14:23:46	Feb-08 12:47:26	'-	02:40:40	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
3939	1	failed	50660	Feb-07 14:23:48	Feb-08 13:58:40	'-	02:05:47	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
3900	1	failed	50660	Feb-07 14:23:45	Feb-08 12:21:02	'-	03:30:35	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
3577	1	failed	60317	Feb-05 15:33:42	Feb-07 11:05:44	Feb-07 16:42:30	05:36:46	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
3581	1	failed	60317	Feb-05 15:33:43	Feb-07 11:07:55	Feb-07 16:43:15	05:35:20	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
4237	1	failed	50660	Feb-07 14:24:50	Feb-08 17:01:28	'-	00:55:48	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
3954	1	failed	50660	Feb-07 14:23:56	Feb-08 14:49:10	'-	03:20:51	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
4065	1	failed	50660	Feb-07 14:24:19	Feb-08 16:04:27	'-	02:01:01	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
3097	6	failed	60317	Feb-07 11:10:46	Feb-07 11:15:06	Feb-07 18:24:51	07:09:45	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
2382	5	failed	60317	Feb-07 11:10:36	Feb-07 11:16:29	Feb-07 18:44:21	07:27:51	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
4113	1	failed	50660	Feb-07 14:24:28	Feb-08 16:10:23	'-	02:21:14	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
3951	1	failed	50660	Feb-07 14:23:55	Feb-08 14:31:51	'-	04:20:56	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
4217	1	failed	50660	Feb-07 14:24:42	Feb-08 16:55:59	'-	02:25:30	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
3968	1	failed	50660	Feb-07 14:23:57	Feb-08 15:11:30	'-	04:35:51	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
4026	1	failed	50660	Feb-07 14:24:09	Feb-08 15:34:38	'-	04:20:30	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
4169	1	failed	50660	Feb-07 14:24:32	Feb-08 16:31:01	'-	03:55:42	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
4194	1	failed	50660	Feb-07 14:24:40	Feb-08 16:49:10	'-	03:55:09	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
3596	1	failed	60317	Feb-05 15:33:46	Feb-07 11:07:53	Feb-07 20:57:20	09:49:27	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
4156	1	failed	50660	Feb-07 14:24:31	Feb-08 16:16:39	'-	04:45:51	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
3328	3	failed	60317	Feb-07 11:22:46	Feb-07 13:48:35	Feb-07 20:45:05	06:56:30	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
4163	1	failed	50660	Feb-07 14:24:32	Feb-08 16:26:15	'-	04:15:51	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
4139	1	failed	50660	Feb-07 14:24:30	Feb-08 16:12:41	'-	04:35:53	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
3571	1	failed	60317	Feb-05 15:33:36	Feb-07 11:05:57	Feb-07 21:04:43	09:58:46	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
4265	1	failed	50660	Feb-07 14:24:53	Feb-08 17:39:52	'-	03:45:41	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
4680	1	failed	50660	Feb-07 14:26:07	Feb-08 19:17:10	'-	02:25:34	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
4231	1	failed	50660	Feb-07 14:24:49	Feb-08 17:00:44	'-	04:55:56	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
