Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
415	1	finished	0	Jan-29 02:25:40	Jan-29 02:45:21	Jan-29 06:19:04	03:33:43	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
394	1	finished	0	Jan-28 19:24:17	Jan-29 00:44:01	Jan-29 04:22:26	03:38:25	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
362	1	finished	0	Jan-28 19:24:07	Jan-28 23:09:54	Jan-29 02:36:32	03:26:37	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1411	0	finished	0	Jan-25 17:44:55	Jan-28 19:23:33	Jan-29 01:17:38	05:54:05	T2_US_MIT	undefined	JobLog	PostJob	undefined	undefined
1410	0	finished	0	Jan-25 17:44:55	Jan-28 19:15:18	Jan-28 22:46:57	03:31:38	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1391	0	finished	0	Jan-25 17:44:47	Jan-28 18:51:55	Jan-28 22:44:53	03:52:58	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1371	0	finished	0	Jan-25 17:44:43	Jan-28 16:14:58	Jan-28 20:06:28	03:51:30	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1373	0	finished	0	Jan-25 17:44:37	Jan-28 16:14:57	Jan-28 20:03:16	03:48:18	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1340	0	finished	0	Jan-25 17:44:33	Jan-28 13:59:08	Jan-28 17:19:48	03:20:40	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1338	0	finished	0	Jan-25 17:44:26	Jan-28 12:42:33	Jan-28 16:14:58	03:32:24	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1125	0	finished	0	Jan-25 17:43:26	Jan-27 16:52:02	Jan-27 20:18:27	03:26:25	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1109	0	finished	0	Jan-25 17:43:18	Jan-27 15:22:31	Jan-27 19:34:01	04:11:30	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
602	1	finished	0	Jan-27 07:26:15	Jan-27 11:19:05	Jan-27 15:36:22	04:17:17	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
987	2	finished	0	Jan-27 07:26:17	Jan-27 08:18:58	Jan-27 15:24:55	07:05:56	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1003	1	finished	0	Jan-27 07:26:07	Jan-27 10:39:22	Jan-27 14:11:44	03:32:22	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
805	1	finished	0	Jan-27 07:26:03	Jan-27 09:14:22	Jan-27 13:31:16	04:16:54	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
914	1	finished	0	Jan-27 04:36:49	Jan-27 08:57:59	Jan-27 12:46:53	03:48:53	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
736	1	finished	0	Jan-27 04:36:40	Jan-27 04:45:20	Jan-27 11:51:13	07:05:53	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
924	1	finished	0	Jan-27 04:36:48	Jan-27 05:49:21	Jan-27 11:12:11	05:22:50	T2_US_MIT	undefined	JobLog	PostJob	undefined	undefined
937	1	finished	0	Jan-27 04:36:42	Jan-27 05:36:01	Jan-27 09:24:31	03:48:30	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
